name_of_investigator,created_at,updated_at,updated_by,date,overall_photos_front,overall_photos_back,overall_photos_left,overall_photos_right,detailed_photos_front,detailed_photos_back,detailed_photos_left,detailed_photos_right,elevations_assessed_front_o,elevations_assessed_back_o,elevations_assessed_left_o,elevations_assessed_right_o,latitude,longitude,geometry,address_suite,address_locality,address_postal_code,address_country,complete address,building_name,located_in_historic_district,occupancy_o,occupany_u,number_stories,year_built_o,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,understory_pct_of_building_footprint,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,,,wall_thickness,roof_shape_o,roof_shape_u,roof_slope_o,roof_slope_u,construction_type_o,construction_type_u,construction_type_u_unc,mwfrs_o,mwfrs_u_wall,mwfrs_u_roof,mwfrs_u_moment_frame,mwfrs_u_unc,masonry_leaves,masonry_leaves_unc,structural_wall_system_o,structural_wall_system_u,foundation_type_o,foundation_type_u,foundation_type_u_unc,wall_anchorage_type_o,wall_anchorage_type_u,wall_anchorage_type_u_unc,wall_substrate_o,wall_substrate_u,wall_substrate_u_unc,wall_cladding_o,wall_cladding_u,wall_cladding_u_unc,soffit_type_o,soffit_type_u,soffit_present_u,wall_fenesteration_protection_front,wall_fenesteration_protection_front_unc,wall_fenesteration_protection_back,wall_fenesteration_protection_back_unc,wall_fenesteration_protection_right,wall_fenesteration_protection_right_unc,wall_fenesteration_protection_left,wall_fenesteration_protection_left_unc,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,fenestration_protection_type_unc,fenesteration_ratio_o,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,large_door_opening_type_,opening_type,roof_system_o,roof_system_u,roof_system_u_unc,r2wall_attachment_o,r2wall_attachment_u,r2wall_attachment_type_unc,roof_substrate_type_o,roof_substrate_type_u,roof_substrate_type_u_unc,roof_cover_o,roof_cover_u,roof_cover_u_unc,overhang_length_o,overhang_length_u,parapet_height_m,secondary_water_barrier_o,secondary_water_barrier_u,retrofit_type_1_o,retrofit_type_1_u,retrofit_type_2_o,reotrofit_2_u,retrofit_year_o,retrofit_year_u,retrofit_present_u,retrofit_type_u,retrofit_type_unc_u,foundation_damage_cause_o,foundation_damage_cause_u,oop_failure_n,oop_failure_s,oop_failure_e,oop_failure_w,ip_failure_n,ip_failure_s,ip_failure_e,ip_failure_w,shortest_dist_from_tornado,status_u,risk_category_16,building_low_rise,building_open,building_enclosed,building_regular_shape,,exposure_category,building_natural_frequency,building_rigid,,about_structure,about_damages,about_openings,rest
Mariant Gutierrez,2021-12-15 15:39:12 UTC,2021-12-15 15:40:32 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,no,no,yes,no,no,no,yes,no,no,no,no,36.73858884,-88.64178635,POINT (-88.64178635179996 36.73858884429887),,Mayfield,42066,US,423 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,130,isolated,recessed,3.5,0,3.5,s,13.85,10.4,,,0.23,,gable,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,wood_frame,,concrete_stem_wall,1,,un,1,,wooden_sheathing_cont,3,,brick,2,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,un,3,,un,0,,,,,,,,,no,NA,1,,erosion,no,yes,no,yes,no,no,no,no,49.01614922,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:40:55 UTC,2021-12-15 15:44:19 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,36.7382546,-88.64174075,POINT (-88.64174075424671 36.73825460413058),,Mayfield,42066,US,422 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,85,isolated,recessed,3.5,0,3.5,w,10.11,8.3,,,0.23,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,concrete_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_trusses,2,,un,1,,plywood,3,,asphalt,3,,0.3,0,,,,,,,,,no,NA,3,,erosion,no,no,no,no,no,no,no,no,48.99981352,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:46:11 UTC,2021-12-15 15:48:35 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,36.7378454,-88.64168879,POINT (-88.64168878644705 36.73784539975642),,Mayfield,42066,US,414 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,129,isolated,recessed,3.5,0,3.5,w,14.5,9.3,,,0.24,,hip,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.6,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,yes,no,48.97955375,severe,2,yes,,,,,,,,,,,,
Mohammad Alam,2021-12-15 15:55:59 UTC,2021-12-15 15:59:11 UTC,jon0003@auburn.edu,12/15/21,no,no,no,no,no,no,no,no,no,no,no,no,36.935989,-88.22577607,POINT (-88.22577606886625 36.9359889987269),,Gilbertsville,42044,US,533 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,1,,1990,260,isolated,recessed,3.5,0,3.5,w,10,37,,,0.23,,gable,,30,,un,1,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,un,,un,1,,un,1,,un,3,,un,1,,NA,no,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,un,,un,1,,un,1,,plywood,3,,un,3,,un,0,,,,,,,,,no,NA,1,,NA,no,no,no,no,no,no,no,no,51.10522072,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-15 15:58:11 UTC,2021-12-15 16:09:03 UTC,jon0003@auburn.edu,12/15/21,yes,yes,no,no,yes,no,no,no,no,no,no,no,36.93632666,-88.22584212,POINT (-88.22584211826324 36.936326663710794),,Gilbertsville,42044,US,551 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,2,,1990,190,isolated,recessed,5,0,2.5,e,9,16.65,,,0.24,,gable,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,Reinforced masonry stem wall,slab_on_grade,3,,anchor_bolts,2,"""Wood, sheathing (corners only)""",foam_board,3,Brick,brick_veneer,3,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,no,no,yes,no,single_garage,irregular,,un,1,,un,1,,plywood,3,,un,3,,un,0,,,,,,,,,no,NA,1,,"erosion, flood",no,no,yes,yes,no,no,no,yes,51.14281669,destroyed,2,yes,,,,,,,,,,,,
Mohammad Alam,2021-12-15 15:54:47 UTC,2021-12-15 16:33:56 UTC,jon0003@auburn.edu,12/15/21,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,36.93599784,-88.22578143,POINT (-88.22578143328428 36.9359978423527),,Gilbertsville,42044,US,533 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,2,,1990,200,isolated,recessed,5,0,2.5,e,10,37,,,0.23,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,anchor_bolts,2,,sheathing_insulate,3,,vinyl_panel,3,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,no,no,yes,no,double_grage_wind,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,"erosion, flood",yes,yes,yes,yes,no,no,no,no,51.10630081,destroyed,2,yes,,,,,,,,,,,,
Mohammad Alam,2021-12-15 16:12:21 UTC,2021-12-23 20:03:52 UTC,dbr0011@auburn.edu,12/15/21,no,no,no,no,no,no,no,no,no,no,no,no,36.93728471,-88.22536904,POINT (-88.22536904364824 36.937284712961116),,Gilbertsville,42044,US,583 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,1,,1990,175,isolated,recessed,3,0,3,s,14.4,12.1,,,0.24,,gable,,40,,un,1,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,un,,un,1,,un,1,,un,3,,un,1,,un,no,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,un,,un,1,,un,1,,plywood,1,,un,3,,un,0,,,,,,,,,no,NA,1,,NA,no,no,no,no,no,no,no,no,51.2321136,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-15 16:10:03 UTC,2021-12-15 16:15:35 UTC,jon0003@auburn.edu,12/15/21,yes,no,no,no,yes,no,yes,no,no,no,no,no,36.93642287,-88.22500527,POINT (-88.2250052690506 36.93642287115853),,Gilbertsville,42044,US,552 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,1,,2000,30,isolated,recessed,3,0,3,w,4,10,,,0.2,,gable,,40,,wooden_light_frame,2,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,Slab-on-grade,slab_on_grade,1,,anchor_bolts,3,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,no,no,no,yes,single_garage,irregular,,un,1,,un,1,,plywood,1,,un,3,,un,0,,,,,,,,,no,NA,1,,"erosion, flood",no,no,yes,no,no,no,no,no,51.13100716,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-15 16:17:54 UTC,2021-12-15 16:20:13 UTC,jon0003@auburn.edu,12/15/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.93703093,-88.22576065,POINT (-88.22576064616442 36.93703093157709),,Gilbertsville,42044,US,577 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,2,,1990,240,isolated,recessed,5,0,2.5,s,17,13.8,,,0.2,,gable,,30,,wooden_light_frame,2,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,2,,wood_frame,Reinforced masonry stem wall,slab_on_grade,1,,un,1,,foam_board,3,,vinyl_panel,2,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,no,yes,no,no,single_garage,regular,,wooden_rafters,2,,un,1,,plywood,1,,un,3,,un,0,,,,,,,,,no,NA,1,,"erosion, flood",no,no,yes,no,no,no,no,no,51.21545724,destroyed,2,yes,,,,,,,,,,,,
Mohammad Alam,2021-12-15 16:14:33 UTC,2021-12-15 16:25:23 UTC,alammo@oregonstate.edu,12/15/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.93732303,-88.22533652,POINT (-88.22533652186394 36.93732303468061),,Gilbertsville,42044,US,583 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,2,,2000,140,isolated,recessed,5,0,2.5,s,14.4,12.1,,,0.24,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,concrete_piers,2,,un,1,,foam_board,3,,vinyl_panel,3,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,no,yes,no,no,double_garage,irregular,,un,1,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,"erosion, flood",no,yes,no,no,no,no,no,no,51.23533033,destroyed,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-15 16:24:41 UTC,2021-12-15 16:27:20 UTC,jon0003@auburn.edu,12/15/21,yes,no,no,no,yes,no,no,no,no,no,no,no,36.93742299,-88.22511189,POINT (-88.22511188685894 36.93742299264147),,Gilbertsville,42044,US,583 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,1,,2000,260,isolated,recessed,3.5,0,3.5,s,14.4,12.1,,,0.24,,gable,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,2,,wood_frame,,slab_on_grade,3,,anchor_bolts,2,,wooden_sheathing_cont,3,,vinyl_panel,2,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,yes,no,no,no,no,yes,no,no,double_garage,regular,,wooden_rafters,2,,un,2,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,1,,"erosion, flood",no,no,no,no,no,no,no,no,51.24005586,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:52:21 UTC,2021-12-15 15:54:28 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,36.73770327,-88.64170119,POINT (-88.64170119166374 36.73770326588163),,Mayfield,42066,US,418 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,140,isolated,recessed,3.5,0,3.5,w,14,9.5,,,0.2,,hip,,40,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,masonry_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,NA,no,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,2,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,yes,48.97022555,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:55:11 UTC,2021-12-15 15:57:02 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.7374456,-88.64167638,POINT (-88.64167638123035 36.73744559718431),,Mayfield,42066,US,426 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,137,isolated,recessed,3.5,0,3.5,w,15.57,9.3,,,0.24,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,masonry_stem_wall,2,,un,1,,wooden_sheathing_cont,2,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.3,0,,,,,,,,,no,NA,3,,"erosion, flood",no,no,no,no,no,yes,no,no,48.9568951,moderate,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:57:04 UTC,2022-03-21 21:15:13 UTC,garrett.demaree@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.73737869,-88.6415017,POINT (-88.64150170236826 36.737378694534385),,Mayfield,42066,US,426 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,25,isolated,recessed,3.5,0,3.5,s,6,4.7,,,0.15,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,anchor_bolts,2,,NA,2,,wood_plank,3,,NA,no,no,2,no,2,no,2,no,2,NA,NA,NA,NA,2,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,un,0,,,,,,,,,no,NA,2,,erosion,no,yes,yes,no,no,no,no,no,48.96614617,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 15:59:13 UTC,2021-12-15 16:01:52 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.73758693,-88.64168141,POINT (-88.64168141037226 36.737586925482),,Mayfield,42066,US,422 S 11th St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,136,isolated,recessed,3.5,0,3.5,w,9.6,14.3,,,0.2,,hip,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,masonry_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.3,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,48.96485298,minor,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 16:02:27 UTC,2021-12-15 16:05:14 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.73703021,-88.64189062,POINT (-88.64189062267542 36.73703020870415),,Mayfield,42066,US,418 Beech St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,160,isolated,recessed,3.5,0,3.5,n,13.7,13.32,,,0.21,,gable,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,3,,wood_frame,,un,1,,un,1,,foam_board,2,,brick_veneer,2,,wood,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,48.91621916,moderate,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 16:05:54 UTC,2021-12-15 16:08:32 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.73704122,-88.6412422,POINT (-88.64124219864607 36.73704122485716),,Mayfield,42066,US,503 S Tenth St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,136,isolated,recessed,3.5,0,3.5,w,14.3,9.3,,,0.2,,gable,,20,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,concrete_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,NA,no,no,yes,no,no,no,no,no,48.96587728,severe,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 16:09:08 UTC,2021-12-15 16:11:27 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,36.73732845,-88.64081036,POINT (-88.64081036299467 36.73732845033726),,Mayfield,42066,US,500 S Tenth St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,85,isolated,recessed,3.5,0,3.5,n,10.64,9.65,,,0.23,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,3,,wood_frame,,un,3,,un,1,,sheathing_insulate,2,,vinyl_panel,3,,vinyl,yes,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_trusses,2,,un,1,,plywood,3,,corrugated_metal,3,,0.3,0,,,,,,,,,no,NA,1,,erosion,yes,yes,yes,yes,no,no,no,no,49.01543267,destroyed,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 16:11:52 UTC,2021-12-15 16:14:26 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,yes,yes,no,no,no,no,no,no,no,no,36.73744184,-88.64119828,POINT (-88.64119827747345 36.73744183559106),,Mayfield,42066,US,427 S Tenth St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,73,isolated,recessed,3.5,0,3.5,e,8.21,9,,,0.2,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,erosion,no,no,no,no,no,yes,no,no,48.99279463,moderate,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 16:14:44 UTC,2021-12-15 16:15:39 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,no,yes,yes,no,no,no,no,no,no,no,no,36.73757618,-88.641208,POINT (-88.64120800048113 36.73757617809209),,Mayfield,42066,US,421 S Tenth St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,95,isolated,recessed,3.5,0,3.5,e,8.7,9.5,,,0.2,,gable,,20,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,concrete_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,0.3,0,,,,,,,,,no,NA,3,,erosion,no,no,no,no,no,no,no,no,48.99997962,moderate,2,yes,,,,,,,,,,,,
Mariant Gutierrez,2021-12-15 16:16:40 UTC,2021-12-15 16:17:51 UTC,mariant.gutierrezsoto@uky.edu,12/15/21,yes,yes,no,yes,no,no,no,no,no,no,no,no,36.73712049,-88.64085127,POINT (-88.64085126668215 36.73712048737483),,Mayfield,42066,US,506 S Tenth St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,153,isolated,recessed,3.5,0,3.5,e,13.07,9.8,,,0.2,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,concrete_stem_wall,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,2,,un,1,,plywood,3,,asphalt,3,,1,0,,,,,,,,,no,NA,3,,erosion,no,no,no,no,no,no,yes,yes,49.00009842,severe,2,yes,,,,,,,,,,,,
Jordan nakayama,2021-12-15 16:48:05 UTC,2021-12-22 14:04:50 UTC,nap@psu.edu,12/15/21,yes,no,no,no,no,no,no,no,no,no,no,no,36.93607208,-88.22493587,POINT (-88.22493586689234 36.936072075171225),,Gilbertsville,42044,US,552 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,1,,2000,390,isolated,recessed,3.5,0,3.5,s,12,30,,,0.23,,gable,,0,,un,1,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,un,1,,un,Slab-on-grade,slab_on_grade,2,,un,1,,NA,3,,un,1,,NA,no,no,1,no,1,no,1,no,1,NA,NA,NA,NA,1,,no,no,no,no,no,no,no,no,NA,un,,un,1,,un,1,,un,3,,un,3,,un,0,,,,,,,,,no,NA,1,,NA,no,no,no,no,no,no,no,no,51.09192038,destroyed,2,yes,,,,,,,,,,,,
Mohammad Alam,2021-12-15 16:43:33 UTC,2021-12-15 16:54:59 UTC,alammo@oregonstate.edu,12/15/21,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,36.93579203,-88.2241644,POINT (-88.22416439652443 36.935792026795404),,Gilbertsville,42044,US,681 Sherwood Dr Gilbertsville Marshall County KY 42044 US,,no,,residental,2,,2013,272,isolated,recessed,6,0,3,n,16.68,14.65,,,0.2,,gable,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,single_leaf,2,,wood_frame,unknown,masonry_stem_wall,2,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,yes,3,yes,3,no,3,no,3,plywood,plywood,NA,NA,3,,yes,no,no,no,yes,no,no,no,double_garage,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,51.04193658,minor,2,yes,,,,,,,,,,,,
Saanchi Kaushal,2021-12-15 16:50:11 UTC,2021-12-15 16:58:07 UTC,saanchi.kaushal@psu.edu,12/15/21,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,36.73797034,-88.64118621,POINT (-88.64118620753288 36.73797033763317),,Mayfield,42066,US,409 S Tenth St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,96,isolated,recessed,3.5,0,3.5,e,8.75,9.7,,,0.2,,gable,,45,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,2,,un,1,,foam_board,2,,wood_plank,3,,vinyl,yes,no,3,no,3,no,3,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,regular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,49.02488002,moderate,2,yes,,,,,,,,,,,,
Saanchi Kaushal,2021-12-15 17:01:35 UTC,2021-12-15 17:03:22 UTC,saanchi.kaushal@psu.edu,12/15/21,yes,no,no,yes,no,no,no,no,yes,no,yes,no,36.73859825,-88.64018507,POINT (-88.64018507301807 36.73859824814108),,Mayfield,42066,US,337 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,2,,1990,102,isolated,recessed,5.5,0,2.75,s,12.77,7.15,,,0.23,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,un,1,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,1,no,3,no,1,no,3,NA,NA,NA,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,erosion,no,no,no,yes,no,no,no,no,49.137549,severe,2,yes,,,,,,,,,,,,
Saanchi Kaushal,2021-12-15 17:04:10 UTC,2021-12-15 17:06:19 UTC,saanchi.kaushal@psu.edu,12/15/21,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,36.73859905,-88.64005029,POINT (-88.64005029201508 36.738599054184654),,Mayfield,42066,US,327 W Walnut St Mayfield Graves County KY 42066 US,,no,,residental,1,,1990,126,isolated,recessed,3.5,0,3.5,s,11.7,9.14,,,0.2,,gable,,30,,wooden_light_frame,3,,wall_diaphragm_wood,roof_diaphragm_wood,no,3,NA,3,,wood_frame,,slab_on_grade,3,,un,1,,wooden_sheathing_cont,3,,vinyl_panel,3,,vinyl,yes,no,3,yes,3,yes,3,no,3,plywood,NA,plywood,NA,3,,no,no,no,no,no,no,no,no,NA,irregular,,wooden_rafters,3,,un,1,,plywood,3,,asphalt,3,,0.15,0,,,,,,,,,no,NA,3,,NA,no,no,no,no,no,no,no,no,49.14777299,moderate,2,yes,,,,,,,,,,,,
